"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.010387992E2,5.238623058E1,4.864154950E0,1.170074104E1,1.960000038E0,2.496000061E2,9.935046196E0,2.567421675E0
2.020391020E2,5.238622642E1,4.864131070E0,1.329782820E1,9.100000262E-1,2.500000000E2,9.935046196E0,2.593616724E0
2.030408498E2,5.238622066E1,4.864102830E0,1.286372162E1,2.420000076E0,2.491999969E2,9.935046196E0,2.740602493E0
2.040411289E2,5.238621264E1,4.864060240E0,1.235800925E1,2.730000019E0,2.531000061E2,9.935046196E0,2.885578871E0
2.050393979E2,5.238620417E1,4.864020460E0,1.167328177E1,2.369999886E0,2.466000061E2,9.935046196E0,2.937699795E0
2.060390064E2,5.238619759E1,4.863993750E0,1.228391369E1,1.350000024E0,2.518000031E2,9.935046196E0,2.991853952E0
2.070450032E2,5.238619041E1,4.863974810E0,1.389381687E1,1.629999995E0,2.331000061E2,9.935046196E0,2.995048285E0
2.080392073E2,5.238618038E1,4.863949830E0,1.408324133E1,2.269999981E0,2.328000031E2,9.935046196E0,2.984218836E0
2.090393313E2,5.238616966E1,4.863926730E0,1.475014395E1,1.679999948E0,2.318999939E2,9.935046196E0,2.920601130E0
2.100393728E2,5.238615855E1,4.863901980E0,1.523454994E1,2.329999924E0,2.336999969E2,9.935046196E0,2.967544079E0
2.110395814E2,5.238614740E1,4.863875490E0,1.480245095E1,1.940000057E0,2.310000000E2,9.935046196E0,2.901222944E0
2.120403723E2,5.238613644E1,4.863848610E0,1.542113325E1,2.109999895E0,2.303999939E2,9.935046196E0,2.849684715E0
